Request: insert
Med (μs): 1.054
Min (μs): 0.903
Max (μs): 1.090
90% (μs): 1.072
99% (μs): 1.081
99.9% (μs): 1.088
Request: select
Batch size: 1000
Request per second: 805791
Avg (μs): 1.241
Med (μs): 1.258
Min (μs): 0.974
Max (μs): 1.381
90% (μs): 1.278
99% (μs): 1.296
99.9% (μs): 1.313
Request: replace
Batch size: 1000
Request per second: 964487
Avg (μs): 1.037
Med (μs): 1.047
Min (μs): 0.912
Max (μs): 1.078
90% (μs): 1.064
99% (μs): 1.075
99.9% (μs): 1.078
Request: delete
Batch size: 1000
Request per second: 837500
Avg (μs): 1.194
Med (μs): 1.209
Min (μs): 0.927
Max (μs): 1.417
90% (μs): 1.230
99% (μs): 1.250
99.9% (μs): 1.358
Request: insert
Batch size: 1000
Request per second: 959758
Avg (μs): 1.042
Med (μs): 1.053
Min (μs): 0.899
Max (μs): 1.087
90% (μs): 1.071
99% (μs): 1.080
99.9% (μs): 1.085
Request: select
Batch size: 1000
Request per second: 808217
Avg (μs): 1.237
Med (μs): 1.253
Min (μs): 0.962
Max (μs): 1.374
90% (μs): 1.272
99% (μs): 1.289
99.9% (μs): 1.311
Request: replace
Batch size: 1000
Request per second: 958354
Avg (μs): 1.043
Med (μs): 1.053
Min (μs): 0.923
Max (μs): 1.101
90% (μs): 1.071
99% (μs): 1.083
99.9% (μs): 1.090
Request: delete
Batch size: 1000
Request per second: 836792
Avg (μs): 1.195
Med (μs): 1.210
Min (μs): 0.930
Max (μs): 1.430
90% (μs): 1.230
99% (μs): 1.250
99.9% (μs): 1.294
Request: insert
Batch size: 1000
Request per second: 961888
Avg (μs): 1.040
Med (μs): 1.050
Min (μs): 0.899
Max (μs): 1.087
90% (μs): 1.069
99% (μs): 1.079
99.9% (μs): 1.085
Request: select
Batch size: 1000
Request per second: 807979
Avg (μs): 1.238
Med (μs): 1.253
Min (μs): 0.957
Max (μs): 1.439
90% (μs): 1.274
99% (μs): 1.291
99.9% (μs): 1.308
Request: replace
Batch size: 1000
Request per second: 962880
Avg (μs): 1.039
Med (μs): 1.048
Min (μs): 0.919
Max (μs): 1.091
90% (μs): 1.065
99% (μs): 1.078
99.9% (μs): 1.087
Request: delete
Batch size: 1000
Request per second: 838354
Avg (μs): 1.193
Med (μs): 1.208
Min (μs): 0.930
Max (μs): 1.416
90% (μs): 1.228
99% (μs): 1.248
99.9% (μs): 1.391
Request: insert
Batch size: 1000
Request per second: 960102
Avg (μs): 1.042
Med (μs): 1.052
Min (μs): 0.916
Max (μs): 1.139
90% (μs): 1.073
99% (μs): 1.083
99.9% (μs): 1.088
Request: select
Batch size: 1000
Request per second: 807966
Avg (μs): 1.238
Med (μs): 1.253
Min (μs): 0.964
Max (μs): 1.418
90% (μs): 1.271
99% (μs): 1.291
99.9% (μs): 1.309
Request: replace
Batch size: 1000
Request per second: 960272
Avg (μs): 1.041
Med (μs): 1.053
Min (μs): 0.909
Max (μs): 1.091
90% (μs): 1.069
99% (μs): 1.081
99.9% (μs): 1.085
Request: delete
Batch size: 1000
Request per second: 837450
Avg (μs): 1.194
Med (μs): 1.209
Min (μs): 0.939
Max (μs): 1.431
90% (μs): 1.229
99% (μs): 1.249
99.9% (μs): 1.349
Request: insert
Batch size: 1000
Request per second: 961373
Avg (μs): 1.040
Med (μs): 1.053
Min (μs): 0.892
Max (μs): 1.087
90% (μs): 1.070
99% (μs): 1.079
99.9% (μs): 1.085
Request: select
Batch size: 1000
Request per second: 809546
Avg (μs): 1.235
Med (μs): 1.251
Min (μs): 0.964
Max (μs): 1.422
90% (μs): 1.268
99% (μs): 1.290
99.9% (μs): 1.307
Request: replace
Batch size: 1000
Request per second: 962916
Avg (μs): 1.039
Med (μs): 1.050
Min (μs): 0.915
Max (μs): 1.192
90% (μs): 1.067
99% (μs): 1.078
99.9% (μs): 1.084
Request: delete
Batch size: 1000
Request per second: 836789
Avg (μs): 1.195
Med (μs): 1.210
Min (μs): 0.927
Max (μs): 1.417
90% (μs): 1.229
99% (μs): 1.247
99.9% (μs): 1.336
Request: insert
Batch size: 1000
Request per second: 957429
Avg (μs): 1.044
Med (μs): 1.057
Min (μs): 0.927
Max (μs): 1.095
90% (μs): 1.075
99% (μs): 1.087
99.9% (μs): 1.093
Request: select
Batch size: 1000
Request per second: 807503
Avg (μs): 1.238
Med (μs): 1.254
Min (μs): 0.967
Max (μs): 1.388
90% (μs): 1.274
99% (μs): 1.294
99.9% (μs): 1.306
Request: replace
Batch size: 1000
Request per second: 959049
Avg (μs): 1.043
Med (μs): 1.052
Min (μs): 0.910
Max (μs): 1.088
90% (μs): 1.071
99% (μs): 1.082
99.9% (μs): 1.087
Request: delete
Batch size: 1000
Request per second: 838529
Avg (μs): 1.193
Med (μs): 1.208
Min (μs): 0.927
Max (μs): 1.433
90% (μs): 1.226
99% (μs): 1.247
99.9% (μs): 1.359
Request: insert
Batch size: 1000
Request per second: 960008
Avg (μs): 1.042
Med (μs): 1.053
Min (μs): 0.905
Max (μs): 1.109
90% (μs): 1.073
99% (μs): 1.082
99.9% (μs): 1.089
Request: select
Batch size: 1000
Request per second: 807361
Avg (μs): 1.239
Med (μs): 1.254
Min (μs): 0.967
Max (μs): 1.454
90% (μs): 1.272
99% (μs): 1.291
99.9% (μs): 1.305
Request: replace
Batch size: 1000
Request per second: 962502
Avg (μs): 1.039
Med (μs): 1.048
Min (μs): 0.910
Max (μs): 1.080
90% (μs): 1.067
99% (μs): 1.075
99.9% (μs): 1.079
Request: delete
Batch size: 1000
Request per second: 836699
Avg (μs): 1.195
Med (μs): 1.211
Min (μs): 0.922
Max (μs): 1.395
90% (μs): 1.229
99% (μs): 1.249
99.9% (μs): 1.325
Request: insert
Batch size: 1000
Request per second: 849441
Avg (μs): 1.177
Med (μs): 1.044
Min (μs): 0.904
Max (μs): 139.848
90% (μs): 1.072
99% (μs): 1.145
99.9% (μs): 1.914
Request: select
Batch size: 1000
Request per second: 812061
Avg (μs): 1.231
Med (μs): 1.247
Min (μs): 0.970
Max (μs): 1.439
90% (μs): 1.264
99% (μs): 1.283
99.9% (μs): 1.301
Request: replace
Batch size: 1000
Request per second: 951183
Avg (μs): 1.051
Med (μs): 1.061
Min (μs): 0.908
Max (μs): 1.093
90% (μs): 1.077
99% (μs): 1.089
99.9% (μs): 1.092
Request: delete
Batch size: 1000
Request per second: 838632
Avg (μs): 1.192
Med (μs): 1.208
Min (μs): 0.932
Max (μs): 1.424
90% (μs): 1.227
99% (μs): 1.244
99.9% (μs): 1.299
Request: insert
Batch size: 1000
Request per second: 950286
Avg (μs): 1.052
Med (μs): 1.061
Min (μs): 0.906
Max (μs): 1.100
90% (μs): 1.079
99% (μs): 1.087
99.9% (μs): 1.097
Request: select
Batch size: 1000
Request per second: 810472
Avg (μs): 1.234
Med (μs): 1.249
Min (μs): 0.971
Max (μs): 1.424
90% (μs): 1.269
99% (μs): 1.286
99.9% (μs): 1.309
Request: replace
Batch size: 1000
Request per second: 955010
Avg (μs): 1.047
Med (μs): 1.058
Min (μs): 0.922
Max (μs): 1.103
90% (μs): 1.073
99% (μs): 1.083
99.9% (μs): 1.088
Request: delete
Batch size: 1000
Request per second: 837977
Avg (μs): 1.193
Med (μs): 1.208
Min (μs): 0.936
Max (μs): 1.443
90% (μs): 1.228
99% (μs): 1.242
99.9% (μs): 1.308
Request: insert
Batch size: 1000
Request per second: 953628
Avg (μs): 1.049
Med (μs): 1.059
Min (μs): 0.913
Max (μs): 1.091
90% (μs): 1.076
99% (μs): 1.085
99.9% (μs): 1.090
Request: select
Batch size: 1000
Request per second: 810207
Avg (μs): 1.234
Med (μs): 1.250
Min (μs): 0.970
Max (μs): 1.433
90% (μs): 1.269
99% (μs): 1.287
99.9% (μs): 1.305
Request: replace
Batch size: 1000
Request per second: 952079
Avg (μs): 1.050
Med (μs): 1.060
Min (μs): 0.915
Max (μs): 1.094
90% (μs): 1.076
99% (μs): 1.086
99.9% (μs): 1.091
Request: delete
Batch size: 1000
Request per second: 839019
Avg (μs): 1.192
Med (μs): 1.206
Min (μs): 0.930
Max (μs): 1.451
90% (μs): 1.226
99% (μs): 1.248
99.9% (μs): 1.305
Request: insert
Batch size: 1000
Request per second: 950237
Avg (μs): 1.052
Med (μs): 1.062
Min (μs): 0.910
Max (μs): 1.096
90% (μs): 1.078
99% (μs): 1.089
99.9% (μs): 1.095
Request: select
Batch size: 1000
Request per second: 807543
Avg (μs): 1.238
Med (μs): 1.254
Min (μs): 0.972
Max (μs): 1.456
90% (μs): 1.274
99% (μs): 1.289
99.9% (μs): 1.390
Request: replace
Batch size: 1000
Request per second: 954289
Avg (μs): 1.048
Med (μs): 1.057
Min (μs): 0.906
Max (μs): 1.099
90% (μs): 1.075
99% (μs): 1.087
99.9% (μs): 1.095
Request: delete
Batch size: 1000
Request per second: 838019
Avg (μs): 1.193
Med (μs): 1.208
Min (μs): 0.931
Max (μs): 1.375
90% (μs): 1.229
99% (μs): 1.250
99.9% (μs): 1.373
Request: insert
Batch size: 1000
Request per second: 953410
Avg (μs): 1.049
Med (μs): 1.059
Min (μs): 0.915
Max (μs): 1.089
90% (μs): 1.075
99% (μs): 1.084
99.9% (μs): 1.087
Request: select
Batch size: 1000
Request per second: 811773
Avg (μs): 1.232
Med (μs): 1.247
Min (μs): 0.960
Max (μs): 1.372
90% (μs): 1.266
99% (μs): 1.285
99.9% (μs): 1.304
Request: replace
Batch size: 1000
Request per second: 950385
Avg (μs): 1.052
Med (μs): 1.062
Min (μs): 0.924
Max (μs): 1.095
90% (μs): 1.078
99% (μs): 1.089
99.9% (μs): 1.095
Request: delete
Batch size: 1000
Request per second: 839971
Avg (μs): 1.191
Med (μs): 1.205
Min (μs): 0.925
Max (μs): 1.421
90% (μs): 1.225
99% (μs): 1.247
99.9% (μs): 1.284
Request: insert
Batch size: 1000
Request per second: 954923
Avg (μs): 1.047
Med (μs): 1.057
Min (μs): 0.899
Max (μs): 1.090
90% (μs): 1.074
99% (μs): 1.084
99.9% (μs): 1.090
Request: select
Batch size: 1000
Request per second: 810536
Avg (μs): 1.234
Med (μs): 1.249
Min (μs): 0.961
Max (μs): 1.466
90% (μs): 1.266
99% (μs): 1.288
99.9% (μs): 1.391
Request: replace
Batch size: 1000
Request per second: 954181
Avg (μs): 1.048
Med (μs): 1.058
Min (μs): 0.919
Max (μs): 1.088
90% (μs): 1.072
99% (μs): 1.081
99.9% (μs): 1.083
Request: delete
Batch size: 1000
Request per second: 838166
Avg (μs): 1.193
Med (μs): 1.208
Min (μs): 0.932
Max (μs): 1.476
90% (μs): 1.229
99% (μs): 1.247
99.9% (μs): 1.308
Request: insert
Batch size: 1000
Request per second: 951776
Avg (μs): 1.051
Med (μs): 1.061
Min (μs): 0.929
Max (μs): 1.111
90% (μs): 1.079
99% (μs): 1.090
99.9% (μs): 1.096
Request: select
Batch size: 1000
Request per second: 808641
Avg (μs): 1.237
Med (μs): 1.252
Min (μs): 0.970
Max (μs): 1.437
90% (μs): 1.269
99% (μs): 1.289
99.9% (μs): 1.384
Request: replace
Batch size: 1000
Request per second: 951555
Avg (μs): 1.051
Med (μs): 1.061
Min (μs): 0.928
Max (μs): 1.096
90% (μs): 1.077
99% (μs): 1.086
99.9% (μs): 1.093
Request: delete
Batch size: 1000
Request per second: 827382
Avg (μs): 1.209
Med (μs): 1.210
Min (μs): 0.934
Max (μs): 14.771
90% (μs): 1.231
99% (μs): 1.250
99.9% (μs): 1.470
Request: insert
Batch size: 1000
Request per second: 952213
Avg (μs): 1.050
Med (μs): 1.061
Min (μs): 0.929
Max (μs): 1.106
90% (μs): 1.076
99% (μs): 1.087
99.9% (μs): 1.094
Request: select
Batch size: 1000
Request per second: 808804
Avg (μs): 1.236
Med (μs): 1.251
Min (μs): 0.973
Max (μs): 1.430
90% (μs): 1.271
99% (μs): 1.287
99.9% (μs): 1.305
Request: replace
Batch size: 1000
Request per second: 953642
Avg (μs): 1.049
Med (μs): 1.059
Min (μs): 0.932
Max (μs): 1.166
90% (μs): 1.075
99% (μs): 1.086
99.9% (μs): 1.092
Request: delete
Batch size: 1000
Request per second: 837616
Avg (μs): 1.194
Med (μs): 1.210
Min (μs): 0.931
Max (μs): 1.438
90% (μs): 1.229
99% (μs): 1.248
99.9% (μs): 1.295
Request: insert
Batch size: 1000
Request per second: 949821
Avg (μs): 1.053
Med (μs): 1.063
Min (μs): 0.906
Max (μs): 1.103
90% (μs): 1.080
99% (μs): 1.090
99.9% (μs): 1.103
Request: select
Batch size: 1000
Request per second: 807451
Avg (μs): 1.238
Med (μs): 1.253
Min (μs): 0.975
Max (μs): 1.451
90% (μs): 1.274
99% (μs): 1.292
99.9% (μs): 1.306
Request: replace
Batch size: 1000
Request per second: 950955
Avg (μs): 1.052
Med (μs): 1.061
Min (μs): 0.912
Max (μs): 1.212
90% (μs): 1.079
99% (μs): 1.090
99.9% (μs): 1.118
Request: delete
Batch size: 1000
Request per second: 837712
Avg (μs): 1.194
Med (μs): 1.209
Min (μs): 0.931
Max (μs): 1.482
90% (μs): 1.228
99% (μs): 1.244
99.9% (μs): 1.318
Request: insert
Batch size: 1000
Request per second: 950559
Avg (μs): 1.052
Med (μs): 1.063
Min (μs): 0.931
Max (μs): 1.091
90% (μs): 1.079
99% (μs): 1.088
99.9% (μs): 1.091
Request: select
Batch size: 1000
Request per second: 808119
Avg (μs): 1.237
Med (μs): 1.254
Min (μs): 0.962
Max (μs): 1.372
90% (μs): 1.271
99% (μs): 1.290
99.9% (μs): 1.304
Request: replace
Batch size: 1000
Request per second: 953163
Avg (μs): 1.049
Med (μs): 1.058
Min (μs): 0.915
Max (μs): 1.092
90% (μs): 1.076
99% (μs): 1.085
99.9% (μs): 1.091
Request: delete
Batch size: 1000
Request per second: 837417
Avg (μs): 1.194
Med (μs): 1.210
Min (μs): 0.934
Max (μs): 1.447
90% (μs): 1.229
99% (μs): 1.245
99.9% (μs): 1.361
Request: insert
Batch size: 1000
Request per second: 854169
Avg (μs): 1.171
Med (μs): 1.036
Min (μs): 0.903
Max (μs): 139.877
90% (μs): 1.069
99% (μs): 1.117
99.9% (μs): 1.934
Request: select
Batch size: 1000
Request per second: 813051
Avg (μs): 1.230
Med (μs): 1.245
Min (μs): 0.957
Max (μs): 1.383
90% (μs): 1.263
99% (μs): 1.284
99.9% (μs): 1.296
Request: replace
Batch size: 1000
Request per second: 964556
Avg (μs): 1.037
Med (μs): 1.046
Min (μs): 0.909
Max (μs): 1.094
90% (μs): 1.065
99% (μs): 1.077
99.9% (μs): 1.087
Request: delete
Batch size: 1000
Request per second: 841334
Avg (μs): 1.189
Med (μs): 1.203
Min (μs): 0.937
Max (μs): 1.414
90% (μs): 1.224
99% (μs): 1.240
99.9% (μs): 1.368
Request: insert
Batch size: 1000
Request per second: 963490
Avg (μs): 1.038
Med (μs): 1.048
Min (μs): 0.899
Max (μs): 1.087
90% (μs): 1.065
99% (μs): 1.075
99.9% (μs): 1.082
Request: select
Batch size: 1000
Request per second: 809976
Avg (μs): 1.235
Med (μs): 1.250
Min (μs): 0.966
Max (μs): 1.385
90% (μs): 1.270
99% (μs): 1.288
99.9% (μs): 1.307
Request: replace
Batch size: 1000
Request per second: 965232
Avg (μs): 1.036
Med (μs): 1.047
Min (μs): 0.905
Max (μs): 1.084
90% (μs): 1.064
99% (μs): 1.074
99.9% (μs): 1.081
Request: delete
Batch size: 1000
Request per second: 838187
Avg (μs): 1.193
Med (μs): 1.208
Min (μs): 0.933
Max (μs): 1.424
90% (μs): 1.229
99% (μs): 1.246
99.9% (μs): 1.333
Request: insert
Batch size: 1000
Request per second: 963221
Avg (μs): 1.038
Med (μs): 1.050
Min (μs): 0.912
Max (μs): 1.081
90% (μs): 1.066
99% (μs): 1.076
99.9% (μs): 1.080
Request: select
Batch size: 1000
Request per second: 809347
Avg (μs): 1.236
Med (μs): 1.253
Min (μs): 0.964
Max (μs): 1.357
90% (μs): 1.271
99% (μs): 1.286
99.9% (μs): 1.297
Request: replace
Batch size: 1000
Request per second: 963797
Avg (μs): 1.038
Med (μs): 1.048
Min (μs): 0.896
Max (μs): 1.084
90% (μs): 1.065
99% (μs): 1.078
99.9% (μs): 1.084
Request: delete
Batch size: 1000
Request per second: 836225
Avg (μs): 1.196
Med (μs): 1.211
Min (μs): 0.938
Max (μs): 1.422
90% (μs): 1.232
99% (μs): 1.247
99.9% (μs): 1.296
Request: insert
Batch size: 1000
Request per second: 962456
Avg (μs): 1.039
Med (μs): 1.050
Min (μs): 0.905
Max (μs): 1.138
90% (μs): 1.068
99% (μs): 1.080
99.9% (μs): 1.099
Request: select
Batch size: 1000
Request per second: 808735
Avg (μs): 1.236
Med (μs): 1.253
Min (μs): 0.970
Max (μs): 1.392
90% (μs): 1.274
99% (μs): 1.290
99.9% (μs): 1.310
Request: replace
Batch size: 1000
Request per second: 964974
Avg (μs): 1.036
Med (μs): 1.047
Min (μs): 0.913
Max (μs): 1.079
90% (μs): 1.064
99% (μs): 1.074
99.9% (μs): 1.079
Request: delete
Batch size: 1000
Request per second: 837976
Avg (μs): 1.193
Med (μs): 1.208
Min (μs): 0.932
Max (μs): 1.461
90% (μs): 1.230
99% (μs): 1.248
99.9% (μs): 1.320
Request: insert
Batch size: 1000
Request per second: 962462
Avg (μs): 1.039
Med (μs): 1.050
Min (μs): 0.896
Max (μs): 1.093
90% (μs): 1.068
99% (μs): 1.079
99.9% (μs): 1.086
Request: select
Batch size: 1000
Request per second: 809370
Avg (μs): 1.236
Med (μs): 1.251
Min (μs): 0.968
Max (μs): 1.411
90% (μs): 1.271
99% (μs): 1.291
99.9% (μs): 1.307
Request: replace
Batch size: 1000
Request per second: 961664
Avg (μs): 1.040
Med (μs): 1.050
Min (μs): 0.907
Max (μs): 1.090
90% (μs): 1.069
99% (μs): 1.080
99.9% (μs): 1.087
Request: delete
Batch size: 1000
Request per second: 837081
Avg (μs): 1.195
Med (μs): 1.211
Min (μs): 0.932
Max (μs): 1.438
90% (μs): 1.230
99% (μs): 1.247
99.9% (μs): 1.323
Request: insert
Batch size: 1000
Request per second: 965276
Avg (μs): 1.036
Med (μs): 1.048
Min (μs): 0.897
Max (μs): 1.080
90% (μs): 1.064
99% (μs): 1.075
99.9% (μs): 1.079
Request: select
Batch size: 1000
Request per second: 809346
Avg (μs): 1.236
Med (μs): 1.251
Min (μs): 0.968
Max (μs): 1.397
90% (μs): 1.272
99% (μs): 1.289
99.9% (μs): 1.298
Request: replace
Batch size: 1000
Request per second: 964083
Avg (μs): 1.037
Med (μs): 1.048
Min (μs): 0.907
Max (μs): 1.090
90% (μs): 1.065
99% (μs): 1.077
99.9% (μs): 1.087
Request: delete
Batch size: 1000
Request per second: 838051
Avg (μs): 1.193
Med (μs): 1.209
Min (μs): 0.927
Max (μs): 1.404
90% (μs): 1.230
99% (μs): 1.245
99.9% (μs): 1.312
Request: insert
Batch size: 1000
Request per second: 961164
Avg (μs): 1.040
Med (μs): 1.051
Min (μs): 0.886
Max (μs): 1.091
90% (μs): 1.069
99% (μs): 1.079
99.9% (μs): 1.090
Request: select
Batch size: 1000
Request per second: 808705
Avg (μs): 1.237
Med (μs): 1.254
Min (μs): 0.964
Max (μs): 1.389
90% (μs): 1.272
99% (μs): 1.290
99.9% (μs): 1.298
Request: replace
Batch size: 1000
Request per second: 963488
Avg (μs): 1.038
Med (μs): 1.048
Min (μs): 0.912
Max (μs): 1.085
90% (μs): 1.064
99% (μs): 1.075
99.9% (μs): 1.078
Request: delete
Batch size: 1000
Request per second: 838479
Avg (μs): 1.193
Med (μs): 1.208
Min (μs): 0.933
Max (μs): 1.426
90% (μs): 1.228
99% (μs): 1.245
99.9% (μs): 1.306
Request: insert
Batch size: 1000
Request per second: 962213
Avg (μs): 1.039
Med (μs): 1.050
Min (μs): 0.891
Max (μs): 1.197
90% (μs): 1.069
99% (μs): 1.079
99.9% (μs): 1.088
Request: select
Batch size: 1000
Request per second: 810026
Avg (μs): 1.235
Med (μs): 1.250
Min (μs): 0.959
Max (μs): 1.345
90% (μs): 1.269
99% (μs): 1.288
99.9% (μs): 1.304
Request: replace
Batch size: 1000
Request per second: 964988
Avg (μs): 1.036
Med (μs): 1.047
Min (μs): 0.913
Max (μs): 1.148
90% (μs): 1.064
99% (μs): 1.075
99.9% (μs): 1.086
Request: delete
Batch size: 1000
Request per second: 837227
Avg (μs): 1.194
Med (μs): 1.210
Min (μs): 0.923
Max (μs): 1.399
90% (μs): 1.230
99% (μs): 1.250
99.9% (μs): 1.305
Request: insert
Batch size: 1000
Request per second: 964110
Avg (μs): 1.037
Med (μs): 1.049
Min (μs): 0.921
Max (μs): 1.082
90% (μs): 1.066
99% (μs): 1.073
99.9% (μs): 1.079
Request: select
Batch size: 1000
Request per second: 808203
Avg (μs): 1.237
Med (μs): 1.253
Min (μs): 0.961
Max (μs): 1.418
90% (μs): 1.274
99% (μs): 1.290
99.9% (μs): 1.417
Request: replace
Batch size: 1000
Request per second: 964174
Avg (μs): 1.037
Med (μs): 1.047
Min (μs): 0.903
Max (μs): 1.084
90% (μs): 1.066
99% (μs): 1.076
99.9% (μs): 1.083
Request: delete
Batch size: 1000
Request per second: 838897
Avg (μs): 1.192
Med (μs): 1.206
Min (μs): 0.927
Max (μs): 1.423
90% (μs): 1.227
99% (μs): 1.242
99.9% (μs): 1.304
Request: insert
Batch size: 1000
Request per second: 967080
Avg (μs): 1.034
Med (μs): 1.044
Min (μs): 0.908
Max (μs): 1.081
90% (μs): 1.064
99% (μs): 1.075
99.9% (μs): 1.077
Request: select
Batch size: 1000
Request per second: 809718
Avg (μs): 1.235
Med (μs): 1.250
Min (μs): 0.957
Max (μs): 1.443
90% (μs): 1.269
99% (μs): 1.287
99.9% (μs): 1.300
Request: replace
Batch size: 1000
Request per second: 962715
Avg (μs): 1.039
Med (μs): 1.048
Min (μs): 0.919
Max (μs): 1.086
90% (μs): 1.067
99% (μs): 1.077
99.9% (μs): 1.086
Request: delete
Batch size: 1000
Request per second: 837354
Avg (μs): 1.194
Med (μs): 1.210
Min (μs): 0.937
Max (μs): 1.409
90% (μs): 1.230
99% (μs): 1.246
99.9% (μs): 1.373
Request: insert
Batch size: 10
RPS: 153407
Avg (μs): 6.519
Med (μs): 6.458
Min (μs): 5.820
Max (μs): 126.116
90% (μs): 6.754
99% (μs): 7.104
99.9% (μs): 8.030
Request: select
Batch size: 10
RPS: 149205
Avg (μs): 6.702
Med (μs): 6.647
Min (μs): 6.112
Max (μs): 57.895
90% (μs): 6.940
99% (μs): 7.290
99.9% (μs): 8.412
Request: replace
Batch size: 10
RPS: 152527
Avg (μs): 6.556
Med (μs): 6.491
Min (μs): 5.805
Max (μs): 70.683
90% (μs): 6.802
99% (μs): 7.188
99.9% (μs): 8.310
Request: delete
Batch size: 10
RPS: 148386
Avg (μs): 6.739
Med (μs): 6.639
Min (μs): 6.028
Max (μs): 378.284
90% (μs): 6.947
99% (μs): 7.402
99.9% (μs): 12.551
Request: insert
Batch size: 10
RPS: 153008
Avg (μs): 6.536
Med (μs): 6.479
Min (μs): 6.008
Max (μs): 27.361
90% (μs): 6.779
99% (μs): 7.097
99.9% (μs): 7.499
Request: select
Batch size: 10
RPS: 148991
Avg (μs): 6.712
Med (μs): 6.653
Min (μs): 5.986
Max (μs): 27.644
90% (μs): 6.949
99% (μs): 7.299
99.9% (μs): 7.800
Request: replace
Batch size: 10
RPS: 153131
Avg (μs): 6.530
Med (μs): 6.477
Min (μs): 5.997
Max (μs): 27.178
90% (μs): 6.771
99% (μs): 7.112
99.9% (μs): 7.639
Request: delete
Batch size: 10
RPS: 150183
Avg (μs): 6.659
Med (μs): 6.606
Min (μs): 5.963
Max (μs): 27.227
90% (μs): 6.890
99% (μs): 7.229
99.9% (μs): 7.631
Request: insert
Batch size: 10
RPS: 152668
Avg (μs): 6.550
Med (μs): 6.487
Min (μs): 5.995
Max (μs): 251.457
90% (μs): 6.787
99% (μs): 7.131
99.9% (μs): 7.839
Request: select
Batch size: 10
RPS: 148197
Avg (μs): 6.748
Med (μs): 6.688
Min (μs): 6.135
Max (μs): 27.792
90% (μs): 6.987
99% (μs): 7.317
99.9% (μs): 7.744
Request: replace
Batch size: 10
RPS: 152687
Avg (μs): 6.549
Med (μs): 6.490
Min (μs): 5.921
Max (μs): 27.576
90% (μs): 6.794
99% (μs): 7.138
99.9% (μs): 7.542
Request: delete
Batch size: 10
RPS: 149615
Avg (μs): 6.684
Med (μs): 6.631
Min (μs): 6.003
Max (μs): 27.548
90% (μs): 6.916
99% (μs): 7.223
99.9% (μs): 7.546
Request: insert
Batch size: 10
RPS: 152156
Avg (μs): 6.572
Med (μs): 6.514
Min (μs): 6.035
Max (μs): 49.711
90% (μs): 6.818
99% (μs): 7.156
99.9% (μs): 7.514
Request: select
Batch size: 10
RPS: 148030
Avg (μs): 6.755
Med (μs): 6.699
Min (μs): 6.192
Max (μs): 27.442
90% (μs): 6.994
99% (μs): 7.315
99.9% (μs): 7.850
Request: replace
Batch size: 10
RPS: 152909
Avg (μs): 6.540
Med (μs): 6.483
Min (μs): 5.961
Max (μs): 17.420
90% (μs): 6.779
99% (μs): 7.108
99.9% (μs): 7.495
Request: delete
Batch size: 10
RPS: 149593
Avg (μs): 6.685
Med (μs): 6.631
Min (μs): 5.935
Max (μs): 21.394
90% (μs): 6.918
99% (μs): 7.243
99.9% (μs): 7.599
Request: insert
Batch size: 10
RPS: 153113
Avg (μs): 6.531
Med (μs): 6.476
Min (μs): 6.027
Max (μs): 17.727
90% (μs): 6.768
99% (μs): 7.095
99.9% (μs): 7.529
Request: select
Batch size: 10
RPS: 147992
Avg (μs): 6.757
Med (μs): 6.674
Min (μs): 6.111
Max (μs): 2183.789
90% (μs): 6.964
99% (μs): 7.289
99.9% (μs): 7.723
Request: replace
Batch size: 10
RPS: 153271
Avg (μs): 6.524
Med (μs): 6.469
Min (μs): 5.817
Max (μs): 17.403
90% (μs): 6.759
99% (μs): 7.090
99.9% (μs): 7.617
Request: delete
Batch size: 10
RPS: 149770
Avg (μs): 6.677
Med (μs): 6.623
Min (μs): 6.125
Max (μs): 17.583
90% (μs): 6.913
99% (μs): 7.242
99.9% (μs): 7.777
Request: insert
Batch size: 10
RPS: 153302
Avg (μs): 6.523
Med (μs): 6.468
Min (μs): 5.994
Max (μs): 18.304
90% (μs): 6.759
99% (μs): 7.091
99.9% (μs): 7.422
Request: select
Batch size: 10
RPS: 148698
Avg (μs): 6.725
Med (μs): 6.673
Min (μs): 6.069
Max (μs): 17.944
90% (μs): 6.962
99% (μs): 7.284
99.9% (μs): 7.642
Request: replace
Batch size: 10
RPS: 153015
Avg (μs): 6.535
Med (μs): 6.479
Min (μs): 5.888
Max (μs): 17.432
90% (μs): 6.774
99% (μs): 7.107
99.9% (μs): 7.603
Request: delete
Batch size: 10
RPS: 149731
Avg (μs): 6.679
Med (μs): 6.625
Min (μs): 5.988
Max (μs): 21.664
90% (μs): 6.912
99% (μs): 7.234
99.9% (μs): 7.547
Request: insert
Batch size: 10
RPS: 152746
Avg (μs): 6.547
Med (μs): 6.491
Min (μs): 5.962
Max (μs): 18.126
90% (μs): 6.786
99% (μs): 7.105
99.9% (μs): 7.451
Request: select
Batch size: 10
RPS: 148483
Avg (μs): 6.735
Med (μs): 6.680
Min (μs): 6.171
Max (μs): 17.873
90% (μs): 6.969
99% (μs): 7.294
99.9% (μs): 7.628
Request: replace
Batch size: 10
RPS: 152841
Avg (μs): 6.543
Med (μs): 6.484
Min (μs): 6.004
Max (μs): 127.538
90% (μs): 6.779
99% (μs): 7.105
99.9% (μs): 7.511
Request: delete
Batch size: 10
RPS: 149701
Avg (μs): 6.680
Med (μs): 6.625
Min (μs): 6.127
Max (μs): 38.659
